#BLTrackFile VirtualDetector/Det23
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-51.4568 -45.4732 96650.2 2.37866 31.603 193.222 353.494 13 562 20 -1 5.00266
-40.545 -32.3397 96650.2 -26.8013 43.7358 181.314 344.204 13 636 23 -1 7.22597
-27.5012 1.53791 96650.2 6.02111 27.9688 183.359 467.146 13 750 33 -1 6.20948
-6.30368 22.7994 96650.2 6.61004 6.15264 183.423 353.511 13 814 34 -1 1.11424
-6.18934 -1.89056 96650.2 -5.45747 -4.74714 228.046 371.861 13 858 38 -1 7.07787
-1.19821 43.657 96650.2 31.9701 1.72644 184.031 344.309 13 929 43 -1 6.24555
2.56806 -7.21342 96650.2 -18.2034 -4.79785 215.188 356.662 13 2701 119 -1 4.371
-5.52807 -15.194 96650.2 4.60715 -16.8017 221.53 381.315 13 3479 150 -1 8.97324
2.83111 23.9606 96650.2 13.1644 -1.46778 239.557 378.221 13 3522 153 -1 8.78518
40.3259 -10.2856 96650.2 -14.5258 -42.4448 228.839 356.33 13 3555 154 -1 6.37807
-16.3929 -99.3287 96650.2 -30.2053 25.9894 239.724 341.915 13 3618 159 -1 4.76841
-0.658361 -149.023 96650.2 -46.0441 10.2099 282.72 362.569 13 3837 168 -1 7.88388
1.91862 -1.74408 96650.2 17.3233 3.45697 195.801 470.276 13 4166 191 -1 9.60226
-21.4852 -6.4065 96650.2 -9.37401 4.51952 236.712 371.616 13 4277 196 -1 9.54745
-11.0975 -89.5875 96650.2 -50.4747 9.59078 244.234 365.499 13 4444 205 -1 6.26729
31.9849 29.3959 96650.2 11.1356 -21.2031 206.044 396.683 13 5870 277 -1 5.1246
-32.2212 33.4248 96650.2 41.5841 11.8843 241.111 399.712 13 6087 287 -1 6.13271
-106.091 -17.9051 96650.2 2.81002 16.3254 260.904 332.368 13 6404 312 -1 5.97016
-17.3355 -49.9681 96650.2 -34.5322 4.22513 209.858 402.697 13 6596 318 -1 8.19438
-9.0695 -1.52247 96650.2 18.4775 29.4988 228.377 378.224 13 6807 328 -1 1.77848
1.54009 41.4954 96650.2 6.14968 7.12273 192.489 381.287 13 7149 338 -1 7.92605
-19.8172 8.93434 96650.2 22.985 8.25428 221.892 356.451 13 9135 421 -1 10.6348
-104.188 -22.9221 96650.2 -14.6161 34.3527 198.991 344.214 13 9212 424 -1 4.93997
-71.1818 14.4788 96650.2 7.59157 38.807 221.699 433.666 13 9380 428 -1 5.37569
-8.57714 -8.43432 96650.2 8.07773 -15.1814 191.018 369.197 13 9798 460 -1 5.60106
43.1137 -41.6649 96650.2 -29.042 -53.8838 246.27 427.187 13 10686 497 -1 6.32689
55.5761 19.3738 96650.2 17.2292 -23.6494 204.836 393.587 13 11068 519 -1 6.22706
19.7303 -38.7626 96650.2 -29.3611 6.42207 222.518 418.375 13 11403 534 -1 8.44532
43.2824 29.7113 96650.2 -18.041 -39.2518 216.007 362.706 13 12431 586 -1 6.59573
75.7738 -63.5778 96650.2 -53.0478 -11.8394 207.015 347.405 13 12544 595 -1 6.17295
-3.18459 -49.3853 96650.2 -8.96193 3.6693 195.034 406.779 13 12678 601 -1 6.24573
-79.4335 -33.9132 96650.2 -11.8016 45.5465 225.575 396.47 13 13118 623 -1 5.48637
28.255 7.93849 96650.2 17.1916 -24.2593 231.188 470.405 13 13236 627 -1 2.78678
19.3033 38.3188 96650.2 22.0905 -62.2235 114.206 316.898 13 13274 628 -1 3.46796
19.4418 5.16123 96650.2 -4.31174 -23.9701 224.417 424.136 13 13428 635 -1 7.88681
-13.0176 -130.695 96650.2 -65.2385 0.974582 235.523 317.64 13 13766 651 -1 2.73895
49.4323 -33.8892 96650.2 -29.3638 -23.9513 217.787 430.479 13 14471 678 -1 5.84083
39.7683 -16.5981 96650.2 -12.9136 -24.1158 233.87 405.64 13 14840 695 -1 8.51353
31.869 12.4853 96650.2 8.71005 -17.5582 194.054 399.491 13 15374 728 -1 6.64192
39.1636 -32.4592 96650.2 -36.6856 -31.3911 252.802 316.113 13 15691 748 -1 3.86465
-60.0663 68.5214 96650.2 33.5882 8.49014 233.348 332.011 13 15804 753 -1 1.08827
-33.0541 -24.5092 96650.2 -3.46599 4.55572 210.894 366.793 13 15831 754 -1 9.62495
-75.6039 -41.5719 96650.2 -15.5113 15.4193 175.504 335.256 13 16542 774 -1 5.84497
83.0165 26.0907 96650.2 -7.69561 -26.4663 244.541 359.644 13 17619 808 -1 7.41063
51.2955 -43.2179 96650.2 -33.9397 -59.0627 235.165 408.872 13 17784 819 -1 6.36517
11.3738 -11.2611 96650.2 -17.5383 -7.7868 182.183 347.231 13 17966 825 -1 5.28315
-74.8033 73.011 96650.2 31.4609 11.5892 224.815 405.925 13 18880 862 -1 9.80308
-27.3609 -3.01316 96650.2 6.47221 16.8391 217.336 366.179 13 19342 890 -1 8.99865
62.3298 124.315 96650.2 31.1147 -45.0775 249.666 420.681 13 20114 927 -1 9.50338
52.6197 -0.889177 96650.2 -9.46852 -16.2295 200.121 347.087 13 20160 928 -1 7.83648
46.4733 2.16099 96650.2 -7.312 -21.466 223.655 433.152 13 20368 939 -1 5.08384
-64.0925 3.48356 96650.2 13.4655 18.1299 241.49 393.395 13 20601 947 -1 3.6747
-34.6485 33.2393 96650.2 30.2112 5.23612 226.907 384.465 13 21301 978 -1 9.74532
-27.2616 46.9866 96650.2 19.3169 5.32082 232.597 396.577 13 22015 1006 -1 5.52133
-26.6543 49.3924 96650.2 22.3217 21.7285 231.524 353.453 13 22145 1011 -1 4.9675
16.6558 -25.2256 96650.2 -9.72822 -6.58747 201.816 424.195 13 22551 1029 -1 8.91577
-21.2767 -32.7065 96650.2 -19.7162 -12.9437 222.092 371.517 13 23123 1057 -1 4.74189
32.3745 26.4366 96650.2 4.14781 -26.7337 236.622 359.473 13 24255 1123 -1 2.04198
-36.8835 -44.9022 96650.2 -29.7014 34.9839 221.845 421.143 13 24517 1135 -1 1.07431
10.566 47.9434 96650.2 3.864 -7.1 222.402 344.02 13 24635 1141 -1 7.4546
34.3805 -76.9954 96650.2 -3.87815 -35.1371 174.197 314.727 13 24875 1150 -1 3.00447
91.3622 -9.5805 96650.2 -26.8319 -33.3503 214.693 369.313 13 25683 1180 -1 9.14055
42.8612 -48.2521 96650.2 -47.4049 -23.2881 268.426 378.116 13 25884 1189 -1 2.66141
73.9122 8.01286 96650.2 -1.30595 -41.5239 214.569 344.481 13 26961 1241 -1 5.944
48.717 5.14749 96650.2 18.1548 -2.47549 234.08 356.588 13 27260 1248 -1 7.76917
-16.8168 5.48142 96650.2 11.1605 39.609 111.012 312.289 13 27390 1251 -1 1.38028
12.0841 -37.6541 96650.2 2.66995 -7.62822 191.374 516.416 13 27649 1264 -1 3.73102
-44.027 36.1765 96650.2 38.5787 -8.65503 133.592 318.733 13 28191 1296 -1 4.80708
-10.5718 19.8401 96650.2 -13.609 -0.760423 254.12 381.223 13 28403 1305 -1 5.01712
-49.4647 -50.8439 96650.2 -9.15061 14.3506 211.396 353.302 13 28996 1335 -1 6.00301
-58.7555 11.3226 96650.2 31.1942 -5.41432 200.727 342.014 13 29008 1337 -1 4.49123
67.7823 22.2454 96650.2 -0.870899 -33.1271 237.256 359.656 13 29498 1365 -1 9.97005
10.0755 29.6246 96650.2 15.1897 -28.6402 196.019 366.231 13 30087 1394 -1 6.62468
68.0971 -31.8952 96650.2 -34.208 -44.8948 217.042 461.126 13 31177 1441 -1 1.90135
-48.388 36.5389 96650.2 4.17546 2.70834 219.771 442.921 13 32909 1513 -1 5.9205
14.4467 -14.1774 96650.2 3.83243 18.8456 221.079 356.209 13 33302 1527 -1 5.20157
