# TuneParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 225 0 -13 -2 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 17.6535 
4.6593e-06 1.07744e-06 10 0.000210409 4.77571e-05 225.191 0.0368483 -13 -2 1 0 1 1.69925e-05 -7.03888e-05 1.95465 0 0 16.8969 
1.87371e-05 4.1729e-06 20 0.000424532 9.0957e-05 225.373 0.0736911 -13 -2 1 0 1 1.7335e-05 -7.1241e-05 1.96128 0 0 16.0448 
4.2382e-05 9.07863e-06 30 0.000642293 0.000129465 225.545 0.110529 -13 -2 1 0 1 1.76626e-05 -7.211e-05 1.96938 0 0 15.1021 
7.57404e-05 1.55816e-05 40 0.000863627 0.000163164 225.706 0.147361 -13 -2 1 0 1 1.79785e-05 -7.29822e-05 1.97791 0 0 14.0742 
0.000118957 2.34628e-05 50 0.00108846 0.000191895 225.856 0.18419 -13 -2 1 0 1 1.83195e-05 -7.38816e-05 1.98736 0 0 12.9668 
0.000172173 3.24979e-05 60 0.00131672 0.000215487 225.992 0.221014 -13 -2 1 0 1 1.86421e-05 -7.47994e-05 1.9981 0 0 11.7862 
0.000235531 4.24552e-05 70 0.00154833 0.000233786 226.115 0.257834 -13 -2 1 0 1 1.89458e-05 -7.57214e-05 2.00968 0 0 10.5391 
0.00027235 4.77752e-05 75 0.00166536 0.000240878 226.172 0.276242 -13 -2 1 0 1 1.91171e-05 -7.62014e-05 2.01585 0 0 9.89287 
0.00035118 5.86646e-05 85 0.00190194 0.000251779 226.274 0.313058 -13 -2 1 0 1 2.34033e-05 -7.76367e-05 2.03264 0 0 8.55942 
0.000440536 7.01655e-05 95 0.0021432 0.000267815 226.361 0.34987 -13 -2 1 0 1 2.37371e-05 -7.86169e-05 2.04645 0 0 7.17772 
0.000540591 8.22382e-05 105 0.00238781 0.000277802 226.432 0.38668 -13 -2 1 0 1 2.40439e-05 -7.96166e-05 2.06177 0 0 5.75557 
0.000651491 9.4611e-05 115 0.00263567 0.000281513 226.488 0.423489 -13 -2 1 0 1 2.43244e-05 -8.06198e-05 2.0777 0 0 4.30099 
0.000773381 0.000107001 125 0.00288667 0.000278672 226.527 0.460296 -13 -2 1 0 1 2.46255e-05 -8.16533e-05 2.09449 0 0 2.82218 
0.000906401 0.000119114 135 0.00314067 0.000268988 226.55 0.497102 -13 -2 1 0 1 2.48926e-05 -8.27057e-05 2.11265 0 0 1.32747 
0.00105069 0.000130644 145 0.00339753 0.000252209 226.556 0.533907 -13 -2 1 0 1 2.51314e-05 -8.37588e-05 2.13137 0 0 -0.174723 
0.00120637 0.00014127 155 0.00365709 0.000228017 226.546 0.570713 -13 -2 1 0 1 2.5389e-05 -8.48414e-05 2.15086 0 0 -1.67593 
0.00137359 0.00015066 165 0.00391915 0.000196113 226.519 0.607519 -13 -2 1 0 1 2.56142e-05 -8.59399e-05 2.17154 0 0 -3.16769 
0.00155245 0.000158468 175 0.00418355 0.00015621 226.476 0.644326 -13 -2 1 0 1 2.58101e-05 -8.70353e-05 2.1926 0 0 -4.64161 
0.00174307 0.000164333 185 0.00445004 0.00010801 226.417 0.681135 -13 -2 1 0 1 2.60293e-05 -8.81578e-05 2.21432 0 0 -6.08937 
0.00194556 0.000167881 195 0.00471839 5.11911e-05 226.342 0.717946 -13 -2 1 0 1 2.62191e-05 -8.92924e-05 2.23688 0 0 -7.50283 
0.00204205 0.000168261 199.5 0.00483969 2.27575e-05 226.303 0.734511 -13 -2 1 0 1 2.63007e-05 -8.97986e-05 2.24681 0 0 -8.12556 
0.00204469 0.000168255 199.62 0.00484203 2.19693e-05 226.262 0.734953 -13 -2 1 0 1 2.62674e-05 -8.93876e-05 2.24707 0 0 -7.12958e-26 
0.00205085 0.00016824 199.9 0.00484955 2.01342e-05 226.262 0.735984 -13 -2 1 0 1 2.62715e-05 -8.94178e-05 2.24769 0 0 0 
0.00205525 0.000168227 200.1 0.0048549 1.8819e-05 226.26 0.73672 -13 -2 1 0 1 2.62765e-05 -8.94396e-05 2.24815 0 0 0 
0.00206142 0.000168208 200.38 0.00486242 1.69719e-05 226.26 0.737751 -13 -2 1 0 1 2.62805e-05 -8.94708e-05 2.2488 0 0 1.73283e-25 
0.00206407 0.000168199 200.5 0.00486476 1.61752e-05 226.219 0.738193 -13 -2 1 0 1 2.62875e-05 -8.95525e-05 2.24908 0 0 19.7864 
0.00228497 0.000167385 210.5 0.00513441 -5.44795e-05 226.436 0.775005 -13 -2 1 0 1 2.64739e-05 -9.07181e-05 2.27248 0 0 19.5116 
0.00251758 0.000163256 220.5 0.0054053 -0.000134134 226.649 0.811811 -13 -2 1 0 1 2.66405e-05 -9.18861e-05 2.29553 0 0 19.1266 
0.00276195 0.000155416 230.5 0.00567715 -0.000222992 226.858 0.848611 -13 -2 1 0 1 2.68451e-05 -9.30855e-05 2.31928 0 0 18.6338 
0.00301809 0.000143461 240.5 0.00594967 -0.000321238 227.06 0.885405 -13 -2 1 0 1 2.70472e-05 -9.43055e-05 2.34273 0 0 18.0359 
0.00328601 0.000126984 250.5 0.00622258 -0.000428986 227.255 0.922193 -13 -2 1 0 1 2.72424e-05 -9.55264e-05 2.36631 0 0 17.3363 
0.00356572 0.00010557 260.5 0.00649559 -0.000546329 227.442 0.958975 -13 -2 1 0 1 2.74923e-05 -9.67791e-05 2.38946 0 0 16.5391 
0.00385719 7.88032e-05 270.5 0.00676835 -0.000673339 227.62 0.995753 -13 -2 1 0 1 2.77668e-05 -9.80523e-05 2.41255 0 0 15.6487 
0.00416041 4.62675e-05 280.5 0.00704056 -0.000809991 227.787 1.03253 -13 -2 1 0 1 2.80542e-05 -9.93253e-05 2.43453 0 0 14.6702 
0.00447535 7.54709e-06 290.5 0.00731191 -0.000956226 227.943 1.06929 -13 -2 1 0 1 2.84265e-05 -0.000100632 2.45652 0 0 13.6093 
0.00480195 -3.77698e-05 300.5 0.00758206 -0.00111194 228.087 1.10606 -13 -2 1 0 1 2.8851e-05 -0.000101961 2.47698 0 0 12.4717 
0.00514017 -9.0088e-05 310.5 0.00785071 -0.00127693 228.217 1.14282 -13 -2 1 0 1 2.9321e-05 -0.000103291 2.49666 0 0 11.2641 
