#BLTrackFile with mu+ and pi+ initial conditions ...
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight 
#mm mm mm MeV/c MeV/c MeV/c ns - - - - - 
-75.18 62.296 101750. 49.323 14.997 252.92 411.74 -13 1 1 0 6.3150E-01
-74.573 1.5909 101750. 3.4196 29.457 277.02 380.57 -13 2 1 0 6.3150E-01
-43.636 -78.833 101750. -42.427 5.1667 278.89 368.74 -13 3 1 0 6.3150E-01
3.084 125.48 101750. 12.675 -13.378 366.74 351.22 -13 7 1 0 6.3150E-01
38.967 84.906 101750. 35.424 22.02 227.58 355.68 -13 8 1 0 6.3150E-01
-34.103 -1.5716 101750. -25.279 27.73 240.11 359.76 -13 10 1 0 6.3150E-01
42.686 -114.5 101750. -9.4151 -32.656 273.16 374.45 -13 12 1 0 6.3150E-01
56.185 -52.671 101750. -19.491 -16.34 205.49 358.87 -13 14 1 0 6.3150E-01
92.844 84.718 101750. -14.751 -42.018 322.03 359.78 -13 15 1 0 6.3150E-01
72.811 34.159 101750. -67.345 -35.242 1009.2 341.2 -13 17 1 0 6.3150E-01
-36.915 -95.398 101750. 10.164 28.507 227.41 427.31 -13 18 1 0 6.3150E-01
-59.461 -52.128 101750. -49.804 -14.926 285.06 396.55 -13 23 1 0 6.3150E-01
150.57 84.023 101750. 9.2642 -12.421 351.02 358.13 -13 26 1 0 6.3150E-01
-55.166 66.781 101750. 8.766 43.254 487.7 351.54 -13 30 1 0 6.3150E-01
-97.309 -33.614 101750. 4.1979 16.383 281.52 383.75 -13 33 1 0 6.3150E-01
-47.773 88.281 101750. -26.579 50.529 827.33 345.29 -13 39 1 0 6.3150E-01
3.3005 -64.892 101750. -4.2353 -2.3022 255.46 429.8 -13 40 1 0 6.3150E-01
-3.974 88.6 101750. 19.835 6.6336 222.84 479.24 -13 41 1 0 6.3150E-01
-161.79 -69.54 101750. -3.6389 13.411 240.67 393.03 -13 45 1 0 6.3150E-01
-147.72 -42.963 101750. -2.8124 23.629 223.62 556.33 -13 46 1 0 6.3150E-01
-7.1715 -94.2 101750. 4.3434 -57.952 335.91 381.16 -13 47 1 0 6.3150E-01
-118.64 64.872 101750. 44.678 27.67 150.24 415.3 -13 48 1 0 6.3150E-01
14.519 -12.594 101750. 22.251 -5.3283 208.85 372.11 -13 49 1 0 6.3150E-01
41.429 120.3 101750. -25.309 -20.858 656.39 342.3 -13 52 1 0 6.3150E-01
5.2933 -131.44 101750. -16.139 20.871 243.84 433.12 -13 53 1 0 6.3150E-01
-11.712 -22.162 101750. 30.453 -12.285 265.03 414.98 -13 55 1 0 6.3150E-01
38.207 -102.31 101750. -23.302 13.118 313.89 368.68 -13 63 1 0 6.3150E-01
-28.356 -50.146 101750. -17.129 5.7601 530.98 350.72 -13 64 1 0 6.3150E-01
-45.534 94.645 101750. 40.715 50.49 309.69 371.12 -13 70 1 0 6.3150E-01
-38.489 -3.3319 101750. -6.071 25.789 305.2 353.37 -13 71 1 0 6.3150E-01
7.0523 -55.818 101750. -11.585 -32.066 329.66 371.31 -13 72 1 0 6.3150E-01
-3.8352 -91.603 101750. -13.253 1.5033 292.4 377.7 -13 73 1 0 6.3150E-01
116.01 126.47 101750. 15.646 -26.993 241.76 402.16 -13 75 1 0 6.3150E-01
77.652 15.036 101750. 6.5808 -25.141 279.27 427.1 -13 76 1 0 6.3150E-01
-45.362 16.619 101750. 11.253 -0.45478 195.57 651.09 -13 77 1 0 6.3150E-01
-13.585 14.853 101750. -1.1689 16.787 248.06 427.46 -13 78 1 0 6.3150E-01
41.867 203.26 101750. 75.441 33.22 929.65 346.1 -13 79 1 0 6.3150E-01
92.509 -41.345 101750. -2.9308 34.133 354.17 357.05 -13 80 1 0 6.3150E-01
199.27 -55.614 101750. -8.9948 -65.251 297.62 402.33 -13 81 1 0 6.3150E-01
-17.868 -35.653 101750. -7.0142 -8.9179 432.75 350.82 -13 82 1 0 6.3150E-01
-8.14 154.92 101750. 39.726 -35.401 255.77 355.97 -13 83 1 0 6.3150E-01
-37.527 -135.08 101750. -50.782 -33.024 1141.2 343.28 -13 84 1 0 6.3150E-01
37.844 131.56 101750. 8.5318 -4.4592 913.35 340.1 -13 87 1 0 6.3150E-01
145.77 -43.725 101750. -49.366 -10.601 334.79 362.35 -13 88 1 0 6.3150E-01
102.39 140.41 101750. 68.641 -4.8999 287.98 399.24 -13 89 1 0 6.3150E-01
-96.245 102.25 101750. 58.657 8.0385 261.66 399.21 -13 90 1 0 6.3150E-01
-68.141 93.184 101750. 43.31 -30.118 274.43 377.44 -13 92 1 0 6.3150E-01
41.749 142.84 101750. 34.454 -38.424 269.24 359.6 -13 94 1 0 6.3150E-01
134.61 58.267 101750. -34.025 -34.269 347.11 372.09 -13 95 1 0 6.3150E-01
