#BLTrackFile VirtualDetector/Det33
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
38.1749 -0.858105 5650.2 -62.6408 42.9482 160.326 24.6182 -13 1 1 0 1
-1.74052 -62.7322 5650.2 13.5972 -3.99313 235.12 23.5988 -13 2 1 0 1
-15.457 -63.9837 5650.2 20.9252 3.88815 209.865 23.8982 -13 3 1 0 1
69.5051 39.8783 5650.2 15.4413 28.9115 159.65 24.7799 -13 4 1 0 1
-122.311 85.698 5650.2 -109.553 29.573 95.4804 26.9681 -13 5 1 0 1
33.8203 28.3306 5650.2 4.14005 -23.0722 242.275 23.5458 -13 6 1 0 1
68.4269 -38.4328 5650.2 27.1675 33.1796 140.562 25.2546 -13 8 1 0 1
61.49 -7.53767 5650.2 1.53146 14.5731 239.896 23.5614 -13 9 1 0 1
-58.5787 57.5942 5650.2 -11.1234 -26.6189 224.344 23.7679 -13 10 1 0 1
13.2578 27.0689 5650.2 -27.4703 -39.7968 161.746 24.5168 -13 11 1 0 1
-5.02546 49.0101 5650.2 -16.7199 1.16458 216.823 23.7816 -13 12 1 0 1
-48.9265 -47.9562 5650.2 21.1241 -11.3148 213.323 23.8721 -13 14 1 0 1
-12.3816 -10.1752 5650.2 -8.63163 -15.7731 239.799 23.541 -13 15 1 0 1
60.0551 26.017 5650.2 2.97925 5.21723 232.053 23.6643 -13 16 1 0 1
-51.231 86.6382 5650.2 -20.9423 -9.94579 230.655 23.7901 -13 17 1 0 1
96.2557 39.3435 5650.2 -16.5946 18.5828 230.296 23.7428 -13 18 1 0 1
58.1563 14.6272 5650.2 1.9535 8.12893 245.227 23.5019 -13 19 1 0 1
9.8564 -37.2378 5650.2 13.9096 -9.19358 241.373 23.4912 -13 20 1 0 1
14.3841 30.7553 5650.2 -7.69928 4.6146 249.215 23.4302 -13 21 1 0 1
-12.703 -60.3238 5650.2 16.7433 -11.7425 236.887 23.61 -13 22 1 0 1
-14.8614 16.4463 5650.2 30.6979 -44.9289 166.519 24.492 -13 23 1 0 1
-78.701 -19.6147 5650.2 17.5626 -16.5378 221.446 23.8025 -13 24 1 0 1
32.0371 -45.4899 5650.2 12.9899 -0.334765 234.488 23.6127 -13 25 1 0 1
78.3475 -15.6152 5650.2 -29.0422 32.5477 189.117 24.1829 -13 26 1 0 1
-3.37588 19.1796 5650.2 -12.8576 -71.9145 157.812 24.6863 -13 27 1 0 1
29.3174 50.2159 5650.2 -6.77508 8.67398 245.532 23.5185 -13 28 1 0 1
-93.3142 33.7494 5650.2 21.7637 -35.4174 207.431 24.0511 -13 29 1 0 1
-0.893213 46.7884 5650.2 -28.942 -2.69235 228.538 23.6912 -13 30 1 0 1
-4.8419 -3.4056 5650.2 49.3284 -49.6246 138.665 26.2575 -13 31 1 0 1
59.6775 -44.8708 5650.2 -8.60341 37.7304 183.687 24.2322 -13 32 1 0 1
3.90417 85.9143 5650.2 -18.8694 -28.8406 213.755 23.8856 -13 33 1 0 1
44.9583 6.60164 5650.2 -28.8448 6.01575 161.631 24.4034 -13 34 1 0 1
41.8828 33.0629 5650.2 -19.2988 -4.08863 210.98 23.8403 -13 35 1 0 1
62.4823 -11.8705 5650.2 8.90669 22.8044 232.559 23.6467 -13 36 1 0 1
