#BLTrackFile VirtualDetector/Det12
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-20.3012 97.5957 50450.2 10.8782 1.4573 222.492 188.251 -13 6 1 0 1
-59.4565 15.3415 50450.2 22.7285 23.6465 214.237 187.88 -13 19 1 0 1
-22.0803 44.9947 50450.2 20.6944 6.67181 193.522 188.027 -13 20 1 0 1
21.1572 -55.67 50450.2 0.842783 -4.7717 223.672 188.548 -13 21 1 0 1
38.3275 87.3361 50450.2 4.32699 -11.2944 239.431 188.487 -13 28 1 0 1
-60.4089 39.1482 50450.2 1.6743 10.3833 285.376 188.499 -13 36 1 0 1
27.4385 68.5987 50450.2 2.20233 -19.9586 234.852 188.48 -13 37 1 0 1
75.7364 54.775 50450.2 17.9663 -7.51469 219.055 188.459 -13 41 1 0 1
-58.5739 94.5603 50450.2 -3.91035 17.01 234.528 188.014 -13 45 1 0 1
-79.383 99.4391 50450.2 7.55272 -1.94115 231.737 188.284 -13 46 1 0 1
-102.095 29.2193 50450.2 11.6228 26.5279 249.376 188.172 -13 49 1 0 1
-60.0712 -38.8109 50450.2 -21.6071 23.0876 269.975 188.237 -13 50 1 0 1
59.3125 53.3173 50450.2 11.2297 -7.60488 203.416 188.403 -13 51 1 0 1
-49.3034 63.8591 50450.2 18.6309 0.249394 200.079 188.077 -13 53 1 0 1
37.722 7.47772 50450.2 -5.2784 -26.2462 222.603 188.636 -13 65 1 0 1
8.73979 4.55206 50450.2 -23.5118 -26.2468 198.471 188.635 -13 66 1 0 1
-15.8493 109.166 50450.2 26.4628 19.143 235.757 188.351 -13 70 1 0 1
35.7938 95.0461 50450.2 19.4171 -2.21447 219.838 188.36 -13 75 1 0 1
-16.0304 29.6436 50450.2 2.00217 -8.10518 257.654 189.094 -13 78 1 0 1
43.4671 -33.4514 50450.2 -3.59184 -7.12791 213.758 188.641 -13 82 1 0 1
59.5397 93.2808 50450.2 5.9773 -5.07428 239.737 188.471 -13 88 1 0 1
34.9916 83.4404 50450.2 4.86351 -6.17409 196.885 188.268 -13 89 1 0 1
6.6926 60.9106 50450.2 16.7289 -5.74809 187.222 188.268 -13 92 1 0 1
-99.3777 -3.55138 50450.2 1.53531 5.03249 238.344 187.963 -13 98 1 0 1
