#BLTrackFile VirtualDetector/Det27
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-50.7342 -7.12095 113450 -2.71511 0.978352 233.021 794.009 -13 3 1 0 0.6315
7.68602 -10.3337 113450 -12.8774 -3.3194 208.84 784.919 -13 10 1 0 0.6315
-20.2657 107.686 113450 8.6512 -19.8196 214.026 821.733 -13 23 1 0 0.6315
45.2525 -53.5219 113450 -2.45368 30.865 230.948 797.716 -13 49 1 0 0.6315
2.64784 34.3541 113450 18.6234 7.82312 233.1 840.285 -13 55 1 0 0.6315
-5.17911 8.32259 113450 -15.9707 -11.2018 205.998 828.261 -13 81 1 0 0.6315
23.4726 -123.837 113450 19.4583 9.41405 329.104 731.189 -13 84 1 0 0.6315
16.7174 45.2823 113450 20.0879 0.353059 213.466 797.345 -13 95 1 0 0.6315
3.49974 7.92964 113450 5.70956 -16.4916 190.742 797.178 -13 96 1 0 0.6315
-48.8287 32.9792 113450 -2.31741 -10.7419 208.072 794.156 -13 110 1 0 0.6315
38.1602 -7.61994 113450 -8.2798 9.57953 212.784 849.828 -13 119 1 0 0.6315
23.8955 -6.65581 113450 -23.0688 15.1215 221.291 815.693 -13 122 1 0 0.6315
-27.4098 -90.8 113450 8.89306 20.0307 246.747 797.656 -13 130 1 0 0.6315
-41.3658 -14.3263 113450 -15.016 19.1639 212.367 736.825 -13 137 1 0 0.6315
-54.744 49.1378 113450 18.9225 -6.43035 154.089 732.452 -13 155 1 0 0.6315
41.3988 1.72531 113450 0.90168 -16.0095 204.984 791.135 -13 157 1 0 0.6315
-49.9075 -23.1815 113450 -19.7652 11.3261 219.199 846.78 -13 160 1 0 0.6315
-18.6521 -64.4067 113450 33.7126 11.593 227.755 788.263 -13 163 1 0 0.6315
-53.1415 17.2477 113450 -14.5358 -13.5313 199.282 796.972 -13 170 1 0 0.6315
-54.1422 -59.1558 113450 -10.8434 -10.2611 239.391 796.861 -13 172 1 0 0.6315
-56.4524 -34.7102 113450 0.460132 -17.2654 262.357 781.917 -13 174 1 0 0.6315
-76.4084 91.0336 113450 -48.0945 -27.9771 292.296 732.006 -13 183 1 0 0.6315
-34.5887 71.7108 113450 13.8649 -39.5833 197.768 904.952 -13 189 1 0 0.6315
-30.5347 -6.25486 113450 6.78887 15.566 208.984 840.365 -13 198 1 0 0.6315
-24.4578 -18.8151 113450 -0.312091 3.18873 192.954 843.393 -13 227 1 0 0.6315
33.7602 22.4928 113450 -11.4022 -15.6045 210.488 822.11 -13 228 1 0 0.6315
-25.7703 -40.0796 113450 -4.89172 10.5652 219.173 855.893 -13 230 1 0 0.6315
26.4406 -56.6427 113450 -21.0184 5.06105 262.179 806.054 -13 238 1 0 0.6315
