#BLTrackFile VirtualDetector/DetLast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-9.52766 6.34554 131750 1.22087 -13.5034 229.093 862.733 -13 3 1 0 0.6315
-21.9008 12.438 131750 11.7214 7.96285 206.905 853.547 -13 10 1 0 0.6315
81.601 -51.7107 131750 -46.9278 -26.2802 212.796 890.515 -13 23 1 0 0.6315
-14.5814 23.1124 131750 26.0485 7.20313 203.32 866.371 -13 49 1 0 0.6315
28.0609 -46.7863 131750 -16.6618 -2.71769 230.037 909.14 -13 55 1 0 0.6315
-18.5962 72.9465 131750 21.4797 22.5241 208.612 896.871 -13 81 1 0 0.6315
-9.38544 -31.739 131750 -8.71373 15.3655 201.509 866.203 -13 95 1 0 0.6315
-36.6716 -18.7252 131750 -7.55247 17.5793 191.169 865.909 -13 96 1 0 0.6315
-0.145146 16.6222 131750 -4.38096 -6.4188 202.133 863.017 -13 110 1 0 0.6315
-29.067 15.813 131750 18.8474 11.0543 212.268 918.494 -13 119 1 0 0.6315
1.36009 54.3642 131750 22.1104 6.88688 214.879 884.446 -13 122 1 0 0.6315
-118.517 65.5095 131750 49.2146 39.7805 222.216 866.454 -13 130 1 0 0.6315
-48.9088 -14.6956 131750 -9.67184 33.3239 206.735 859.757 -13 157 1 0 0.6315
-37.8072 64.2594 131750 37.9735 19.4876 197.235 915.438 -13 160 1 0 0.6315
-0.0643323 2.46083 131750 22.0645 -13.7999 208.049 856.88 -13 163 1 0 0.6315
33.4404 35.4549 131750 -3.60335 -12.9286 197.223 865.66 -13 170 1 0 0.6315
-30.9018 90.867 131750 34.0325 11.7751 235.215 865.624 -13 172 1 0 0.6315
-16.3815 60.0785 131750 35.0746 -10.1576 243.569 850.895 -13 174 1 0 0.6315
98.2498 1.99325 131750 -29.0379 -25.8779 203.539 973.455 -13 189 1 0 0.6315
20.0727 -27.7879 131750 -10.5293 -13.2438 195.843 909.257 -13 198 1 0 0.6315
-3.91463 21.633 131750 8.08947 1.59733 187.617 912.128 -13 227 1 0 0.6315
-61.236 33.1036 131750 8.54307 32.3906 210.246 890.819 -13 228 1 0 0.6315
5.3094 63.8208 131750 35.8689 -6.51872 205.579 924.572 -13 230 1 0 0.6315
121.575 -17.3336 131750 -5.98453 -41.6845 121.396 879.225 -13 238 1 0 0.6315
-55.538 8.57097 131750 3.37874 8.92649 209.375 856.868 -13 248 1 0 0.6315
7.89727 39.6101 131750 37.5053 8.21277 223.991 862.844 -13 256 1 0 0.6315
-9.11233 28.315 131750 -1.32829 15.5432 243.546 790.412 -13 285 1 0 0.6315
7.05621 3.27696 131750 7.93884 -6.74189 194.645 878.172 -13 307 1 0 0.6315
93.5314 16.5369 131750 -4.06288 -24.1481 193.375 912.009 -13 318 1 0 0.6315
-20.351 -27.4606 131750 -15.4983 -3.87634 197.607 853.407 -13 325 1 0 0.6315
