# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 220.6 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 0 
4.75511e-06 1.09874e-06 10 0.00021042 4.77016e-05 220.6 0.0369851 -13 -1 1 0 1 1.69924e-05 -7.03882e-05 1.95465 0 0 0 
1.91336e-05 4.25398e-06 20 0.000424575 9.07238e-05 220.6 0.0739701 -13 -1 1 0 1 1.7333e-05 -7.12387e-05 1.96128 0 0 0 
4.33028e-05 9.2508e-06 30 0.000642376 0.00012892 220.6 0.110955 -13 -1 1 0 1 1.76599e-05 -7.21039e-05 1.96938 0 0 0 
7.74266e-05 1.58674e-05 40 0.000863751 0.000162158 220.6 0.14794 -13 -1 1 0 1 1.79746e-05 -7.29702e-05 1.97791 0 0 0 
0.000121665 2.38748e-05 50 0.00108862 0.000190269 220.6 0.184925 -13 -1 1 0 1 1.83138e-05 -7.38613e-05 1.98736 0 0 0 
0.000176174 3.3037e-05 60 0.00131687 0.000213068 220.6 0.22191 -13 -1 1 0 1 1.86341e-05 -7.4768e-05 1.9981 0 0 0 
0.000241105 4.31096e-05 70 0.00154843 0.000230392 220.6 0.258895 -13 -1 1 0 1 1.89337e-05 -7.56764e-05 2.00968 0 0 0 
0.000278855 4.84742e-05 75 0.00166542 0.000236926 220.6 0.277388 -13 -1 1 0 1 1.9102e-05 -7.61484e-05 2.01585 0 0 0 
0.000359695 5.94341e-05 85 0.00190174 0.000245637 220.6 0.314373 -13 -1 1 0 1 1.93916e-05 -7.70778e-05 2.0288 0 0 0 
0.000451317 7.06531e-05 95 0.00214111 0.000248332 220.6 0.351358 -13 -1 1 0 1 1.97018e-05 -7.8034e-05 2.0426 0 0 0 
0.000553866 8.19378e-05 105 0.00238427 0.00025154 220.6 0.388343 -13 -1 1 0 1 2.40167e-05 -7.94986e-05 2.06177 0 0 0 
0.000667533 9.34086e-05 115 0.00263118 0.000253439 220.6 0.425328 -13 -1 1 0 1 2.42893e-05 -8.04744e-05 2.0777 0 0 0 
0.00079246 0.000104813 125 0.00288109 0.000248588 220.6 0.462313 -13 -1 1 0 1 2.45849e-05 -8.14774e-05 2.09449 0 0 0 
0.00092878 0.000115839 135 0.00313382 0.00023669 220.6 0.499298 -13 -1 1 0 1 2.48452e-05 -8.24971e-05 2.11265 0 0 0 
0.00107662 0.000126162 145 0.00338924 0.0002175 220.6 0.536283 -13 -1 1 0 1 2.50769e-05 -8.35157e-05 2.13137 0 0 0 
0.00123609 0.000135443 155 0.00364715 0.000190701 220.6 0.573268 -13 -1 1 0 1 2.53275e-05 -8.45624e-05 2.15086 0 0 0 
0.00140731 0.000143332 165 0.00390735 0.000156005 220.6 0.610253 -13 -1 1 0 1 2.5547e-05 -8.5624e-05 2.17154 0 0 0 
0.00159037 0.000149464 175 0.00416964 0.000113138 220.6 0.647238 -13 -1 1 0 1 2.57331e-05 -8.66826e-05 2.1926 0 0 0 
0.00178537 0.000153461 185 0.00443379 6.18125e-05 220.6 0.684223 -13 -1 1 0 1 2.59465e-05 -8.77686e-05 2.21432 0 0 0 
0.00199237 0.000154935 195 0.00469954 1.72794e-06 220.6 0.721208 -13 -1 1 0 1 2.61305e-05 -8.8868e-05 2.23688 0 0 0 
0.00209096 0.000154281 199.5 0.00481958 -2.82168e-05 220.6 0.737852 -13 -1 1 0 1 2.62103e-05 -8.93586e-05 2.24681 0 0 0 
0.00209365 0.000154247 199.62 0.00482278 -2.90405e-05 220.6 0.738296 -13 -1 1 0 1 2.6212e-05 -8.93716e-05 2.24707 0 0 0 
