# TuneParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 248 0 -13 -2 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 17.6535 
4.22667e-06 9.80971e-07 10 0.000210352 4.80102e-05 248.188 0.0362554 -13 -2 1 0 1 1.69925e-05 -7.03887e-05 1.95465 0 0 16.9098 
1.69956e-05 3.81365e-06 20 0.000424321 9.19787e-05 248.367 0.0725067 -13 -2 1 0 1 1.73362e-05 -7.12404e-05 1.96128 0 0 16.0737 
3.84393e-05 8.3309e-06 30 0.000641851 0.000131787 248.537 0.108754 -13 -2 1 0 1 1.76639e-05 -7.21091e-05 1.96938 0 0 15.1496 
6.86896e-05 1.43612e-05 40 0.000862901 0.000167333 248.696 0.144998 -13 -2 1 0 1 1.79815e-05 -7.29804e-05 1.97791 0 0 14.1426 
0.000107877 2.17282e-05 50 0.00108743 0.000198471 248.844 0.181238 -13 -2 1 0 1 1.83246e-05 -7.38788e-05 1.98736 0 0 13.0583 
0.000156131 3.0251e-05 60 0.00131537 0.000225047 248.98 0.217475 -13 -2 1 0 1 1.86497e-05 -7.47952e-05 1.9981 0 0 11.9026 
0.00021358 3.97429e-05 70 0.00154668 0.000246926 249.102 0.25371 -13 -2 1 0 1 1.89582e-05 -7.57154e-05 2.00968 0 0 10.6819 
0.000246967 4.48768e-05 75 0.00166358 0.000256038 249.159 0.271826 -13 -2 1 0 1 1.91321e-05 -7.61944e-05 2.01585 0 0 10.0492 
0.000318449 5.54585e-05 85 0.00189995 0.000271448 249.261 0.308056 -13 -2 1 0 1 2.34231e-05 -7.76278e-05 2.03264 0 0 8.74358 
0.000399483 6.67892e-05 95 0.00214107 0.000292648 249.348 0.344285 -13 -2 1 0 1 2.37669e-05 -7.86053e-05 2.04645 0 0 7.39017 
0.000490228 7.88594e-05 105 0.00238564 0.00030847 249.421 0.380511 -13 -2 1 0 1 2.40835e-05 -7.96024e-05 2.06177 0 0 5.9964 
0.000590823 9.14498e-05 115 0.0026336 0.000318706 249.479 0.416736 -13 -2 1 0 1 2.43736e-05 -8.06033e-05 2.0777 0 0 4.56988 
0.000701402 0.000104331 125 0.00288485 0.000323104 249.52 0.452961 -13 -2 1 0 1 2.46875e-05 -8.16345e-05 2.09449 0 0 3.11842 
0.000822099 0.000117266 135 0.00313931 0.0003214 249.546 0.489184 -13 -2 1 0 1 2.49703e-05 -8.26845e-05 2.11265 0 0 1.64993 
0.000953047 0.000130006 145 0.00339687 0.000313362 249.556 0.525407 -13 -2 1 0 1 2.52248e-05 -8.3736e-05 2.13137 0 0 0.172433 
0.00109437 0.000142292 155 0.00365742 0.000298694 249.55 0.56163 -13 -2 1 0 1 2.55033e-05 -8.48173e-05 2.15086 0 0 -1.30601 
0.00124621 0.000153853 165 0.00392082 0.000277123 249.528 0.597853 -13 -2 1 0 1 2.57491e-05 -8.59154e-05 2.17154 0 0 -2.77731 
0.00140867 0.000164408 175 0.00418694 0.000248382 249.49 0.634077 -13 -2 1 0 1 2.59665e-05 -8.70114e-05 2.1926 0 0 -4.23346 
0.00158189 0.000173664 185 0.00445561 0.000212185 249.436 0.670302 -13 -2 1 0 1 2.62093e-05 -8.81357e-05 2.21432 0 0 -5.66649 
0.00176597 0.000181317 195 0.00472663 0.000168235 249.367 0.706528 -13 -2 1 0 1 2.64246e-05 -8.92733e-05 2.23688 0 0 -7.06858 
0.00185372 0.000183897 199.5 0.00484932 0.000145876 249.331 0.722831 -13 -2 1 0 1 2.65194e-05 -8.97814e-05 2.24681 0 0 -7.68738 
0.00185612 0.000183954 199.62 0.00485181 0.000145233 249.291 0.723265 -13 -2 1 0 1 2.64843e-05 -8.94055e-05 2.24707 0 0 -6.74581e-26 
0.00186172 0.000184086 199.9 0.00485942 0.000143782 249.291 0.72428 -13 -2 1 0 1 2.64893e-05 -8.94358e-05 2.24769 0 0 0 
0.00186573 0.00018418 200.1 0.00486484 0.000142741 249.289 0.725004 -13 -2 1 0 1 2.64927e-05 -8.94579e-05 2.24815 0 0 0 
0.00187134 0.000184309 200.38 0.00487245 0.000141279 249.289 0.726019 -13 -2 1 0 1 2.64975e-05 -8.94893e-05 2.2488 0 0 1.73841e-25 
0.00187375 0.000184364 200.5 0.00487494 0.000140628 249.25 0.726453 -13 -2 1 0 1 2.65042e-05 -8.95547e-05 2.24908 0 0 19.8506 
0.00207473 0.000188899 210.5 0.00514823 8.41669e-05 249.464 0.762681 -13 -2 1 0 1 2.67196e-05 -9.07209e-05 2.27248 0 0 19.6159 
0.00228652 0.000191004 220.5 0.00542339 1.95474e-05 249.675 0.798903 -13 -2 1 0 1 2.69141e-05 -9.18901e-05 2.29553 0 0 19.274 
0.00250918 0.000190354 230.5 0.00570023 -5.34395e-05 249.882 0.835121 -13 -2 1 0 1 2.71442e-05 -9.30912e-05 2.31928 0 0 18.8268 
0.00274277 0.000186615 240.5 0.00597852 -0.000134982 250.084 0.871335 -13 -2 1 0 1 2.73737e-05 -9.43133e-05 2.34273 0 0 18.2767 
0.00298731 0.000179446 250.5 0.00625803 -0.000225205 250.279 0.907544 -13 -2 1 0 1 2.75967e-05 -9.55363e-05 2.36631 0 0 17.6268 
0.00324286 0.000168503 260.5 0.00653853 -0.000324224 250.466 0.943749 -13 -2 1 0 1 2.78737e-05 -9.67916e-05 2.38946 0 0 16.8807 
0.00350943 0.000153439 270.5 0.00681976 -0.00043213 250.645 0.97995 -13 -2 1 0 1 2.81709e-05 -9.80673e-05 2.41255 0 0 16.0424 
0.00378704 0.000133905 280.5 0.00710147 -0.000548929 250.814 1.01615 -13 -2 1 0 1 2.84797e-05 -9.93427e-05 2.43453 0 0 15.1166 
0.00407571 0.000109552 290.5 0.00738341 -0.000674603 250.973 1.05234 -13 -2 1 0 1 2.88687e-05 -0.000100652 2.45652 0 0 14.1083 
0.00437542 8.00305e-05 300.5 0.0076653 -0.000809092 251.12 1.08853 -13 -2 1 0 1 2.93033e-05 -0.000101982 2.47698 0 0 13.0232 
0.00468619 4.49993e-05 310.5 0.0079469 -0.000952249 251.255 1.12472 -13 -2 1 0 1 2.97786e-05 -0.000103312 2.49666 0 0 11.867 
0.005008 4.12047e-06 320.5 0.00822797 -0.00110386 251.377 1.1609 -13 -2 1 0 1 3.0364e-05 -0.000104678 2.51518 0 0 10.6462 
0.00515776 -1.7054e-05 325 0.0083542 -0.00117479 251.428 1.17718 -13 -2 1 0 1 3.06304e-05 -0.000105289 2.52283 0 0 10.0774 
0.00549553 -6.69919e-05 335 0.00863407 -0.0013382 251.53 1.21337 -13 -2 1 0 1 3.13509e-05 -0.000106689 2.53952 0 0 8.77475 
0.00584428 -0.00012356 345 0.00891285 -0.0015093 251.618 1.24954 -13 -2 1 0 1 3.21659e-05 -0.000108114 2.55386 0 0 7.42425 
0.00620396 -0.000187055 355 0.00919036 -0.00168764 251.691 1.28572 -13 -2 1 0 1 3.30637e-05 -0.00010954 2.56638 0 0 6.03332 
0.00657455 -0.000257753 365 0.00946647 -0.00187266 251.749 1.3219 -13 -2 1 0 1 3.4135e-05 -0.000111018 2.57756 0 0 4.60953 
0.00695601 -0.000335909 375 0.00974105 -0.00206381 251.791 1.35807 -13 -2 1 0 1 3.53381e-05 -0.000112528 2.58563 0 0 3.16065 
0.00734828 -0.000421756 385 0.0100141 -0.00226037 251.817 1.39425 -13 -2 1 0 1 3.6658e-05 -0.000114047 2.59143 0 0 1.69455 
0.00775134 -0.000515496 395 0.0102855 -0.00246156 251.828 1.43042 -13 -2 1 0 1 3.81926e-05 -0.000115628 2.59548 0 0 0.219231 
0.00816513 -0.000617304 405 0.0105553 -0.00266657 251.822 1.46659 -13 -2 1 0 1 3.98911e-05 -0.000117253 2.59572 0 0 -1.25728 
0.00858964 -0.00072732 415 0.0108237 -0.00287448 251.8 1.50277 -13 -2 1 0 1 4.17405e-05 -0.000118896 2.59328 0 0 -2.72695 
0.00902483 -0.000845646 425 0.0110908 -0.00308426 251.763 1.53894 -13 -2 1 0 1 4.38429e-05 -0.000120614 2.58872 0 0 -4.18178 
0.00947069 -0.000972348 435 0.0113569 -0.00329489 251.71 1.57512 -13 -2 1 0 1 4.61348e-05 -0.000122391 2.57977 0 0 -5.61383 
0.00992721 -0.00110745 445 0.0116222 -0.00350522 251.641 1.61129 -13 -2 1 0 1 4.86068e-05 -0.000124196 2.56777 0 0 -7.01531 
0.0101374 -0.001172 449.5 0.0117415 -0.00359944 251.605 1.62757 -13 -2 1 0 1 4.98384e-05 -0.000125058 2.56156 0 0 -7.63396 
0.0101431 -0.00117377 449.62 0.0117428 -0.00360137 251.566 1.62801 -13 -2 1 0 1 5.01176e-05 -0.000122951 2.5614 0 0 -6.69904e-26 
0.0101563 -0.00117789 449.9 0.01175 -0.0036072 251.566 1.62902 -13 -2 1 0 1 5.01957e-05 -0.000123004 2.56101 0 0 0 
0.0101657 -0.00118084 450.1 0.0117551 -0.00361135 251.564 1.62974 -13 -2 1 0 1 5.02513e-05 -0.000123041 2.56072 0 0 0 
0.0101789 -0.00118497 450.38 0.0117624 -0.00361717 251.564 1.63076 -13 -2 1 0 1 5.03292e-05 -0.000123093 2.5603 0 0 1.73902e-25 
0.0101846 -0.00118674 450.5 0.0117636 -0.0036191 251.525 1.63119 -13 -2 1 0 1 5.03304e-05 -0.000123391 2.56012 0 0 19.8576 
0.0106573 -0.00133468 460.5 0.0120234 -0.00382561 251.739 1.66737 -13 -2 1 0 1 5.31497e-05 -0.000125465 2.5426 0 0 19.6276 
0.0111399 -0.00149062 470.5 0.0122845 -0.00402809 251.95 1.70354 -13 -2 1 0 1 5.6256e-05 -0.000127663 2.5227 0 0 19.2905 
0.0116324 -0.00165436 480.5 0.0125474 -0.00422526 252.157 1.73971 -13 -2 1 0 1 5.95646e-05 -0.00012997 2.49781 0 0 18.8483 
0.0121351 -0.00182566 490.5 0.012813 -0.00441581 252.359 1.77587 -13 -2 1 0 1 6.30756e-05 -0.000132356 2.46951 0 0 18.3035 
0.0126479 -0.00200422 500.5 0.0130822 -0.00459834 252.554 1.81203 -13 -2 1 0 1 6.68816e-05 -0.000134878 2.43821 0 0 17.6589 
0.0131711 -0.00218968 510.5 0.0133559 -0.00477154 252.741 1.84819 -13 -2 1 0 1 7.08905e-05 -0.000137516 2.40217 0 0 16.9182 
0.0137049 -0.00238166 520.5 0.0136351 -0.004934 252.92 1.88434 -13 -2 1 0 1 7.5095e-05 -0.000140236 2.36216 0 0 16.0854 
0.0142495 -0.00257969 530.5 0.0139209 -0.0050843 253.089 1.92049 -13 -2 1 0 1 7.96148e-05 -0.000143099 2.31947 0 0 15.165 
0.0148051 -0.00278326 540.5 0.0142142 -0.00522107 253.248 1.95664 -13 -2 1 0 1 8.43031e-05 -0.000146073 2.27166 0 0 14.1622 
0.0153721 -0.00299182 550.5 0.0145162 -0.00534288 253.396 1.99278 -13 -2 1 0 1 8.9193e-05 -0.000149126 2.2202 0 0 13.0824 
0.0159509 -0.00320475 560.5 0.0148281 -0.00544831 253.532 2.02892 -13 -2 1 0 1 9.43869e-05 -0.000152314 2.16572 0 0 11.9314 
0.016542 -0.00342138 570.5 0.0151508 -0.00553595 253.654 2.06505 -13 -2 1 0 1 9.97311e-05 -0.000155602 2.10664 0 0 10.7156 
0.0168137 -0.00352021 575 0.0153 -0.00556918 253.705 2.08131 -13 -2 1 0 1 0.00010224 -0.000157099 2.07932 0 0 10.149 
0.0174233 -0.00374091 585 0.0156406 -0.00562844 253.808 2.11744 -13 -2 1 0 1 0.000107862 -0.000160516 2.01467 0 0 8.85102 
0.0180463 -0.00396345 595 0.0159948 -0.00566634 253.897 2.15357 -13 -2 1 0 1 0.00011367 -0.000163978 1.94644 0 0 7.50491 
0.0186834 -0.00418696 605 0.0163637 -0.00568145 253.97 2.1897 -13 -2 1 0 1 0.000119789 -0.000167559 1.87562 0 0 6.11804 
0.0193352 -0.00441055 615 0.0167483 -0.0056723 254.029 2.22583 -13 -2 1 0 1 0.00012597 -0.000171187 1.80041 0 0 4.69794 
0.0200023 -0.00463322 625 0.0171493 -0.00563732 254.072 2.26196 -13 -2 1 0 1 0.000132313 -0.000174825 1.72174 0 0 3.25233 
0.0206854 -0.00485395 635 0.0175678 -0.00557504 254.099 2.29808 -13 -2 1 0 1 0.000138966 -0.000178553 1.6407 0 0 1.78905 
0.0213853 -0.00507165 645 0.0180043 -0.00548389 254.111 2.33421 -13 -2 1 0 1 0.000145625 -0.000182281 1.55582 0 0 0.316061 
0.0221027 -0.00528517 655 0.0184596 -0.0053622 254.106 2.37033 -13 -2 1 0 1 0.000152434 -0.000185977 1.46767 0 0 -1.15865 
0.0228384 -0.00549328 665 0.018934 -0.00520839 254.086 2.40646 -13 -2 1 0 1 0.000159537 -0.000189721 1.37744 0 0 -2.62706 
0.0235933 -0.0056947 675 0.0194279 -0.00502076 254.049 2.44258 -13 -2 1 0 1 0.000166604 -0.000193412 1.28398 0 0 -4.08121 
0.0243682 -0.00588807 685 0.0199415 -0.00479747 253.997 2.47871 -13 -2 1 0 1 0.000173799 -0.00019702 1.18749 0 0 -5.5132 
0.0251638 -0.00607197 695 0.0204748 -0.00453682 253.93 2.51484 -13 -2 1 0 1 0.000181265 -0.000200623 1.08924 0 0 -6.91524 
0.0255315 -0.00614977 699.5 0.0207212 -0.00440681 253.895 2.5311 -13 -2 1 0 1 0.000184517 -0.000202173 1.04375 0 0 -7.53435 
0.0255414 -0.00615178 699.62 0.0207244 -0.0044025 253.855 2.53153 -13 -2 1 0 1 0.000185902 -0.00019684 1.04253 0 0 -6.61183e-26 
0.0255646 -0.00615646 699.9 0.0207394 -0.00439403 253.855 2.53254 -13 -2 1 0 1 0.000186103 -0.000196934 1.0397 0 0 0 
0.0263923 -0.00632331 709.9 0.0212802 -0.00406908 253.791 2.56867 -13 -2 1 0 1 0.00019371 -0.000200413 0.937978 0 0 0 
0.0272418 -0.00647656 719.9 0.0218398 -0.0037019 253.728 2.6048 -13 -2 1 0 1 0.000201211 -0.000203787 0.833889 0 0 0 
0.028114 -0.00661452 729.9 0.0224177 -0.00329049 253.664 2.64094 -13 -2 1 0 1 0.000208771 -0.000207023 0.72732 0 0 0 
0.0290096 -0.00673539 739.9 0.023013 -0.00283305 253.6 2.67707 -13 -2 1 0 1 0.000216543 -0.000210208 0.61939 0 0 0 
0.0299291 -0.00683731 749.9 0.0236244 -0.00232756 253.536 2.71321 -13 -2 1 0 1 0.000224184 -0.000213234 0.509913 0 0 0 
0.0308734 -0.00691834 759.9 0.0242508 -0.00177193 253.472 2.74934 -13 -2 1 0 1 0.000231815 -0.000216054 0.398102 0 0 0 
0.0318428 -0.00697644 769.9 0.0248904 -0.00116428 253.408 2.78548 -13 -2 1 0 1 0.000239631 -0.000218766 0.285461 0 0 0 
0.032838 -0.00700951 779.9 0.0255412 -0.000502553 253.345 2.82162 -13 -2 1 0 1 0.000247268 -0.000221263 0.171706 0 0 0 
0.0338593 -0.00701532 789.9 0.0262041 0.000221183 253.281 2.85776 -13 -2 1 0 1 0.000258931 -0.000225841 0.0522979 0 0 0 
0.0349073 -0.00699119 799.9 0.0268775 0.00101062 253.217 2.8939 -13 -2 1 0 1 0.000266636 -0.000227901 -0.0639046 0 0 0 
