# /Users/criggall/Library/Mobile Documents/com~apple~CloudDocs/muon-cooling/trace-sim/trace_output.txt
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
0 0 -700 49.323 14.997 252.92 411.74 -13 1 1 0 0.6315 2.24028e-07 -3.62295e-05 1.98271 0 0 0 
1.91737 0.558956 -690.201 49.5835 14.0067 252.842 411.776 -13 1 1 0 0.6315 1.49829e-05 -3.22867e-05 1.98255 0 0 0 
3.84501 1.0796 -680.403 50.2649 12.6948 252.733 411.812 -13 1 1 0 0.6315 3.16764e-05 -2.81177e-05 1.98244 0 0 0 
5.79879 1.54917 -670.607 50.7243 11.5226 252.643 411.848 -13 1 1 0 0.6315 5.1958e-05 -2.3494e-05 1.9822 0 0 0 
7.77026 1.9732 -660.812 50.8223 10.528 252.616 411.884 -13 1 1 0 0.6315 7.34486e-05 -1.90883e-05 1.98211 0 0 0 
9.74546 2.3587 -651.017 51.1936 9.2484 252.524 411.92 -13 1 1 0 0.6315 9.99093e-05 -1.39249e-05 1.98186 0 0 0 
11.7335 2.69611 -641.222 51.193 8.13255 252.504 411.956 -13 1 1 0 0.6315 0.000128143 -9.03317e-06 1.98169 0 0 0 
13.7229 2.98871 -631.427 51.6214 6.99062 252.397 411.992 -13 1 1 0 0.6315 0.000161267 -3.72944e-06 1.98145 0 0 0 
15.7289 3.23686 -621.633 51.8377 5.66663 252.346 412.028 -13 1 1 0 0.6315 0.000197325 1.38112e-06 1.98124 0 0 0 
17.743 3.43359 -611.84 52.077 4.53146 252.27 412.064 -13 1 1 0 0.6315 0.000261527 1.43602e-05 1.97707 0 0 0 
19.7662 3.58623 -602.048 52.2663 3.49804 252.2 412.1 -13 1 1 0 0.6315 0.000307835 1.92846e-05 1.97684 0 0 0 
19.8397 3.59112 -601.694 52.0951 3.31511 252.186 412.102 -13 1 1 0 0.6315 0.000309464 1.94367e-05 1.97683 0 0 0 
21.8638 3.69658 -591.901 52.3213 2.28047 252.109 412.138 -13 1 1 0 0.6315 0.000364541 2.47357e-05 1.97647 0 0 0 
23.8966 3.76178 -582.11 52.296 0.966856 252.027 412.174 -13 1 1 0 0.6315 0.000420784 2.9014e-05 1.9762 0 0 0 
25.9286 3.77598 -572.319 52.287 -0.220587 251.983 412.21 -13 1 1 0 0.6315 0.000486052 3.32311e-05 1.97584 0 0 0 
27.9601 3.74406 -562.527 52.2522 -1.39385 251.877 412.246 -13 1 1 0 0.6315 0.000555394 3.64886e-05 1.9755 0 0 0 
29.9905 3.66653 -552.736 52.2475 -2.4717 251.82 412.282 -13 1 1 0 0.6315 0.000635159 3.9434e-05 1.97509 0 0 0 
30.5786 3.63193 -549.9 52.2073 -2.77485 251.813 412.293 -13 1 1 0 0.6315 0.000661538 4.02597e-05 1.97493 0 0 0 
30.6366 3.62818 -549.62 52.2055 -2.80916 251.813 412.294 -13 1 1 0 0.6315 0.000663784 4.02863e-05 1.97492 0 0 -9.07053e-26 
30.6614 3.62655 -549.5 52.5648 -2.98356 251.704 412.294 -13 1 1 0 0.6315 -3.3718e-05 0.00594561 1.97491 0 0 -10.3432 
32.7041 3.48698 -539.712 52.4638 -4.19284 251.603 412.33 -13 1 1 0 0.6315 4.69853e-05 0.006602 1.97461 0 0 -9.06113 
34.743 3.30035 -529.924 52.333 -5.39932 251.517 412.366 -13 1 1 0 0.6315 0.000165418 0.0072521 1.97405 0 0 -7.73303 
36.7769 3.06677 -520.136 52.1725 -6.60219 251.445 412.402 -13 1 1 0 0.6315 0.000298978 0.00788474 1.97361 0 0 -6.36662 
38.8045 2.78639 -510.347 51.9826 -7.80059 251.389 412.438 -13 1 1 0 0.6315 0.000465227 0.00849269 1.97305 0 0 -4.96983 
40.8246 2.45938 -500.559 51.7635 -8.99367 251.348 412.474 -13 1 1 0 0.6315 0.00064492 0.00906578 1.9726 0 0 -3.5507 
42.8358 2.08597 -490.77 51.5153 -10.1807 251.323 412.51 -13 1 1 0 0.6315 0.000864179 0.00959707 1.97192 0 0 -2.1174 
44.837 1.66644 -480.982 51.2384 -11.3607 251.314 412.546 -13 1 1 0 0.6315 0.00108557 0.0100763 1.9715 0 0 -0.67814 
46.8269 1.20107 -471.193 50.9332 -12.533 251.321 412.583 -13 1 1 0 0.6315 0.00135538 0.0104972 1.97074 0 0 0.758873 
48.8044 0.690223 -461.403 50.6001 -13.6968 251.343 412.619 -13 1 1 0 0.6315 0.00163221 0.0108508 1.97014 0 0 2.18548 
50.7681 0.134278 -451.614 50.2395 -14.8512 251.381 412.655 -13 1 1 0 0.6315 0.00193984 0.0111302 1.96938 0 0 3.59364 
52.717 -0.466341 -441.824 49.852 -15.9954 251.435 412.691 -13 1 1 0 0.6315 0.00225621 0.0113286 1.96868 0 0 4.97545 
54.6499 -1.11118 -432.034 49.4381 -17.1288 251.503 412.727 -13 1 1 0 0.6315 0.00260389 0.0114396 1.96778 0 0 6.32319 
56.0262 -1.60586 -425 49.1247 -17.9359 251.561 412.753 -13 1 1 0 0.6315 0.00285033 0.0114622 1.96724 0 0 7.26628 
57.929 -2.32551 -415.209 48.6668 -19.049 251.653 412.789 -13 1 1 0 0.6315 0.00321607 0.011411 1.96629 0 0 8.53824 
59.8128 -3.08796 -405.418 48.1842 -20.1493 251.76 412.825 -13 1 1 0 0.6315 0.00357606 0.0112602 1.96544 0 0 9.75656 
61.6767 -3.89262 -395.626 47.6774 -21.2362 251.879 412.861 -13 1 1 0 0.6315 0.003945 0.0110058 1.96448 0 0 10.9147 
63.5195 -4.7389 -385.834 47.1474 -22.3091 252.01 412.897 -13 1 1 0 0.6315 0.00432272 0.010645 1.96341 0 0 12.0064 
65.3404 -5.62616 -376.041 46.5946 -23.3675 252.152 412.933 -13 1 1 0 0.6315 0.00467794 0.0101784 1.96246 0 0 13.0259 
67.1384 -6.55375 -366.248 46.02 -24.4107 252.304 412.969 -13 1 1 0 0.6315 0.00504563 0.00960235 1.96128 0 0 13.968 
68.9127 -7.52098 -356.454 45.4242 -25.4384 252.467 413.005 -13 1 1 0 0.6315 0.00539424 0.00891965 1.96013 0 0 14.8278 
70.6625 -8.52717 -346.66 44.8081 -26.4499 252.637 413.041 -13 1 1 0 0.6315 0.00572657 0.00813117 1.95893 0 0 15.601 
72.3868 -9.5716 -336.865 44.1723 -27.445 252.815 413.077 -13 1 1 0 0.6315 0.00603993 0.0072392 1.95767 0 0 16.2839 
74.085 -10.6536 -327.07 43.5177 -28.4231 253 413.113 -13 1 1 0 0.6315 0.00634172 0.00624548 1.95625 0 0 16.8733 
75.7563 -11.7723 -317.275 42.8451 -29.384 253.19 413.149 -13 1 1 0 0.6315 0.00659672 0.00515881 1.95495 0 0 17.3664 
77.4001 -12.927 -307.478 42.1552 -30.3272 253.385 413.185 -13 1 1 0 0.6315 0.00685474 0.00397624 1.95329 0 0 17.7612 
78.5511 -13.7748 -300.5 41.6536 -30.9882 253.525 413.211 -13 1 1 0 0.6315 0.00697904 0.00308806 1.95242 0 0 17.9818 
78.5706 -13.7897 -300.38 41.6578 -31.2627 253.468 413.211 -13 1 1 0 0.6315 0.00624119 -0.00114297 1.9524 0 0 1.57487e-25 
78.6162 -13.8247 -300.1 41.6377 -31.2891 253.468 413.212 -13 1 1 0 0.6315 0.00625015 -0.00114671 1.95237 0 0 0 
78.6488 -13.8498 -299.9 41.6331 -31.2947 253.467 413.213 -13 1 1 0 0.6315 0.00625748 -0.00114954 1.95233 0 0 0 
78.6944 -13.8848 -299.62 41.6129 -31.3211 253.467 413.214 -13 1 1 0 0.6315 0.00626907 -0.00115375 1.95227 0 0 -8.09017e-26 
78.7139 -13.8999 -299.5 41.9974 -31.2372 253.377 413.215 -13 1 1 0 0.6315 0.00891355 0.0137918 1.95224 0 0 -9.22415 
80.3228 -15.1252 -289.707 41.239 -32.1512 253.295 413.251 -13 1 1 0 0.6315 0.00961024 0.0145309 1.95049 0 0 -7.98839 
81.9025 -16.3858 -279.913 40.4585 -33.0454 253.226 413.287 -13 1 1 0 0.6315 0.0102868 0.0151941 1.949 0 0 -6.71763 
83.4521 -17.681 -270.119 39.6566 -33.9191 253.172 413.323 -13 1 1 0 0.6315 0.0109618 0.0157691 1.94724 0 0 -5.41925 
84.9705 -19.0099 -260.325 38.8341 -34.772 253.132 413.359 -13 1 1 0 0.6315 0.011608 0.0162533 1.94571 0 0 -4.10071 
86.457 -20.3716 -250.53 37.992 -35.6036 253.107 413.395 -13 1 1 0 0.6315 0.0122714 0.0166285 1.94361 0 0 -2.76952 
87.9107 -21.7652 -240.735 37.131 -36.4134 253.097 413.431 -13 1 1 0 0.6315 0.012842 0.0169132 1.9421 0 0 -1.4332 
89.3309 -23.1898 -230.939 36.2521 -37.2012 253.101 413.467 -13 1 1 0 0.6315 0.013419 0.0170774 1.9399 0 0 -0.0992378 
90.7166 -24.6445 -221.143 35.3562 -37.9666 253.121 413.503 -13 1 1 0 0.6315 0.013922 0.0171359 1.93803 0 0 1.22497 
92.0674 -26.1283 -211.347 34.4443 -38.7094 253.154 413.539 -13 1 1 0 0.6315 0.0143315 0.0170904 1.93591 0 0 2.53213 
93.3824 -27.6403 -201.55 33.5173 -39.4295 253.202 413.575 -13 1 1 0 0.6315 0.01467 0.016932 1.93395 0 0 3.81513 
94.661 -29.1794 -191.752 32.5761 -40.127 253.263 413.611 -13 1 1 0 0.6315 0.0148972 0.0166708 1.93162 0 0 5.06706 
95.9027 -30.7447 -181.953 31.6216 -40.8018 253.338 413.647 -13 1 1 0 0.6315 0.0149847 0.0163158 1.92979 0 0 6.28126 
96.7573 -31.8734 -175 30.9367 -41.267 253.398 413.673 -13 1 1 0 0.6315 0.0149947 0.0159963 1.92805 0 0 7.1165 
