#BLTrackFile VirtualDetector/Det18
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
33.79 12.223 75650.2 -9.75777 -6.34634 192.711 663.474 -13 2 1 0 0.6315
7.9773 -16.5279 75650.2 -4.42904 17.3546 247.899 651.358 -13 3 1 0 0.6315
6.39379 25.3293 75650.2 3.84679 -1.88368 244.025 642.064 -13 10 1 0 0.6315
-21.8401 10.0486 75650.2 -7.39376 13.4192 215.561 657.441 -13 12 1 0 0.6315
-84.2699 8.06978 75650.2 27.4257 -24.9291 442.432 599.698 -13 17 1 0 0.6315
6.56509 -26.7463 75650.2 -2.75863 -30.4917 234.091 709.863 -13 18 1 0 0.6315
26.7268 -3.90917 75650.2 22.5554 -14.4149 200.07 678.967 -13 23 1 0 0.6315
-35.7977 16.0311 75650.2 -8.99569 -18.7904 199.383 666.507 -13 33 1 0 0.6315
34.2346 81.5497 75650.2 -31.9428 56.6046 346.929 608.061 -13 39 1 0 0.6315
-29.1857 42.7924 75650.2 -18.9493 3.15344 200.767 712.682 -13 40 1 0 0.6315
3.54477 57.2068 75650.2 -25.5348 10.0422 234.314 762.097 -13 41 1 0 0.6315
-22.8717 -70.9633 75650.2 -2.93782 -14.1816 261.77 839.212 -13 46 1 0 0.6315
39.353 -3.2894 75650.2 -22.364 31.3359 203.634 663.51 -13 47 1 0 0.6315
-55.3974 16.9769 75650.2 -14.7524 9.60292 218.77 654.273 -13 49 1 0 0.6315
-81.4621 56.2303 75650.2 -17.4779 -13.7368 231.949 715.955 -13 53 1 0 0.6315
-74.2204 26.9352 75650.2 2.51274 36.0009 242.599 697.195 -13 55 1 0 0.6315
14.2115 27.2308 75650.2 25.2257 8.40433 203.383 651.5 -13 63 1 0 0.6315
71.9767 6.93625 75650.2 -18.3362 2.79634 215.837 685.276 -13 75 1 0 0.6315
21.9162 -25.6329 75650.2 6.42924 -5.64689 232.569 709.745 -13 76 1 0 0.6315
-42.3042 62.1399 75650.2 -0.739685 -15.8476 241.367 709.633 -13 78 1 0 0.6315
88.2627 131.919 75650.2 -22.862 63.5315 384.005 607.482 -13 79 1 0 0.6315
-81.4685 -80.4973 75650.2 40.6832 8.08137 274.128 685.425 -13 81 1 0 0.6315
21.1411 59.1788 75650.2 1.77221 -31.8442 230.713 639.058 -13 83 1 0 0.6315
-42.6201 -96.1393 75650.2 53.9078 32.5921 572.808 600.679 -13 84 1 0 0.6315
44.4603 87.5037 75650.2 -50.9437 12.5911 382.998 599.318 -13 87 1 0 0.6315
-31.4361 -96.9981 75650.2 8.32501 10.9279 264.613 644.92 -13 88 1 0 0.6315
-22.5212 -7.02516 75650.2 11.7426 33.4215 247.934 682.395 -13 89 1 0 0.6315
-47.0889 -17.0517 75650.2 8.39339 -8.90266 238.361 681.758 -13 90 1 0 0.6315
-29.1243 -39.9455 75650.2 25.5777 3.50494 199.629 660.294 -13 92 1 0 0.6315
-114.994 46.9711 75650.2 -4.33558 -16.5717 229.224 643.006 -13 94 1 0 0.6315
3.395 -20.7764 75650.2 -11.5885 22.5357 233.013 777.42 -13 97 1 0 0.6315
25.9962 68.8603 75650.2 8.27268 -3.85271 212.407 761.94 -13 99 1 0 0.6315
58.6908 12.9864 75650.2 -11.5909 1.89152 319.99 604.584 -13 103 1 0 0.6315
-97.5822 57.0158 75650.2 14.1463 -22.8405 194.395 611.125 -13 107 1 0 0.6315
-14.8755 -1.05232 75650.2 -12.7095 -40.5151 241.768 648.133 -13 109 1 0 0.6315
27.6419 22.6986 75650.2 -15.4651 -4.91996 202.201 666.578 -13 111 1 0 0.6315
30.7261 -7.51879 75650.2 -4.35357 0.618723 209.297 706.612 -13 119 1 0 0.6315
-75.1478 -41.7863 75650.2 -21.838 5.81131 277.221 617.244 -13 120 1 0 0.6315
-46.4806 -23.1201 75650.2 27.6911 4.05629 175.808 672.581 -13 122 1 0 0.6315
3.9232 -24.1031 75650.2 -24.9271 -5.85587 218.951 854.486 -13 129 1 0 0.6315
-39.2429 33.1779 75650.2 4.4194 -32.2936 235.654 682.108 -13 134 1 0 0.6315
61.0725 -39.1085 75650.2 0.350535 -10.2073 1126.57 596.943 -13 135 1 0 0.6315
43.5069 -14.3387 75650.2 11.8017 7.07307 180.311 679.123 -13 136 1 0 0.6315
11.2609 5.60292 75650.2 9.16681 -18.7738 466.773 603.33 -13 137 1 0 0.6315
3.14461 -4.94911 75650.2 -22.5711 -3.35678 197.348 664.025 -13 144 1 0 0.6315
-56.3892 -61.6345 75650.2 14.9232 -12.495 206.478 610.035 -13 146 1 0 0.6315
77.1261 3.30658 75650.2 10.8467 8.14775 196.404 903.981 -13 148 1 0 0.6315
33.3608 14.8456 75650.2 11.8454 -19.217 232.697 642.101 -13 150 1 0 0.6315
2.51997 -15.2655 75650.2 5.45349 3.3787 417.975 598.195 -13 155 1 0 0.6315
-34.4835 87.4584 75650.2 -2.42779 22.7916 233.311 635.891 -13 156 1 0 0.6315
-44.5612 -50.7486 75650.2 -9.98061 15.1576 243.444 648.122 -13 157 1 0 0.6315
-61.0558 21.1494 75650.2 9.83105 -17.2829 201.208 727.893 -13 158 1 0 0.6315
-0.86541 82.3732 75650.2 -23.1434 75.1007 86.1514 611.065 -13 168 1 0 0.6315
18.7746 -29.5192 75650.2 2.36636 -14.8647 210.08 679.36 -13 169 1 0 0.6315
37.5638 -20.1822 75650.2 12.095 -7.75884 229.703 654.586 -13 172 1 0 0.6315
-58.9736 -37.2045 75650.2 -3.1252 -16.7301 223.147 667.384 -13 178 1 0 0.6315
35.8049 76.7497 75650.2 -7.45449 -14.0741 230.263 666.729 -13 182 1 0 0.6315
131.903 -0.850894 75650.2 -47.7311 47.5916 568.834 598.604 -13 183 1 0 0.6315
-18.7502 -41.5619 75650.2 17.3632 -10.0806 192.636 762.075 -13 189 1 0 0.6315
49.3693 -12.5174 75650.2 -33.3089 -1.54561 250.342 663.48 -13 190 1 0 0.6315
43.808 54.0268 75650.2 -13.0204 16.157 209.039 678.681 -13 195 1 0 0.6315
-47.1073 -36.5875 75650.2 3.20945 -13.156 217.66 651.214 -13 196 1 0 0.6315
0.674162 -13.3516 75650.2 -17.4135 4.71906 216.693 731.344 -13 197 1 0 0.6315
-58.3701 -19.1378 75650.2 2.54918 37.4141 254.565 697.163 -13 198 1 0 0.6315
3.3306 -9.67678 75650.2 -2.85451 7.31191 208.01 654.617 -13 200 1 0 0.6315
1.78787 -9.88982 75650.2 1.89593 11.6745 217.752 737.421 -13 203 1 0 0.6315
-62.3909 -61.6923 75650.2 21.4266 -42.698 418.69 601.559 -13 204 1 0 0.6315
34.384 47.8571 75650.2 19.7857 17.1262 233.123 679.025 -13 208 1 0 0.6315
-59.6646 34.4625 75650.2 1.22156 -8.66794 206.729 645.419 -13 211 1 0 0.6315
-27.0236 -34.9062 75650.2 49.0918 25.002 139.395 612.333 -13 217 1 0 0.6315
-22.1618 15.6682 75650.2 5.91946 -2.86264 213.034 780.54 -13 222 1 0 0.6315
17.8941 -41.4107 75650.2 24.4711 -16.6172 213.274 669.856 -13 225 1 0 0.6315
49.7531 27.0062 75650.2 7.85015 10.8372 209.25 700.504 -13 227 1 0 0.6315
-29.7833 77.2804 75650.2 22.6239 36.3884 243.54 679.06 -13 228 1 0 0.6315
-69.1508 22.7474 75650.2 -16.6711 -1.3157 246.218 728.112 -13 229 1 0 0.6315
3.99616 11.034 75650.2 29.043 24.4144 212.895 712.855 -13 230 1 0 0.6315
-37.3524 12.7856 75650.2 12.7773 -23.4344 197.384 657.964 -13 231 1 0 0.6315
30.8146 30.9351 75650.2 -1.66824 13.5442 212.055 737.493 -13 237 1 0 0.6315
37.7357 0.846763 75650.2 -5.8172 -2.5211 234.686 663.619 -13 238 1 0 0.6315
-106.51 16.7015 75650.2 13.0261 -28.2905 218.914 645.08 -13 242 1 0 0.6315
-33.386 35.6609 75650.2 -20.7199 21.5994 226.159 724.846 -13 243 1 0 0.6315
-10.1483 -24.2232 75650.2 -11.8779 17.5183 213.976 786.765 -13 247 1 0 0.6315
-3.77487 -39.3154 75650.2 -14.9193 8.7479 234.904 655.061 -13 249 1 0 0.6315
5.33827 -39.7426 75650.2 -8.94427 2.8825 230.317 719.079 -13 251 1 0 0.6315
-51.1748 -11.518 75650.2 23.4803 9.8437 221.591 777.184 -13 253 1 0 0.6315
-49.176 -43.4428 75650.2 -2.08475 -3.14387 277.766 608.557 -13 258 1 0 0.6315
2.81165 20.9967 75650.2 43.5879 -9.3723 499.651 602.09 -13 259 1 0 0.6315
7.36544 -23.3189 75650.2 33.9421 3.5551 544.43 597.825 -13 285 1 0 0.6315
1.28879 68.6996 75650.2 19.9114 -12.4276 225.932 635.927 -13 287 1 0 0.6315
9.77738 41.8903 75650.2 -4.40567 -3.44523 204.817 718.762 -13 298 1 0 0.6315
-31.0048 7.23147 75650.2 -14.262 2.00063 213.052 638.97 -13 304 1 0 0.6315
1.03067 -3.98198 75650.2 5.90843 -3.35721 219.433 691.335 -13 312 1 0 0.6315
-24.6471 9.70171 75650.2 -30.5574 29.9052 256.031 700.231 -13 318 1 0 0.6315
-57.1594 -21.9058 75650.2 2.98106 17.8397 207.553 642.752 -13 325 1 0 0.6315
-40.1994 93.4093 75650.2 -52.922 -2.91115 686.24 597.936 -13 327 1 0 0.6315
-1.76661 10.3772 75650.2 -8.25265 14.4307 243.279 738.006 -13 330 1 0 0.6315
-62.9016 38.8189 75650.2 3.72195 -18.4697 194.194 768.359 -13 331 1 0 0.6315
-58.4476 22.9797 75650.2 -6.55554 14.0434 234.715 808.195 -13 332 1 0 0.6315
-10.0608 45.1446 75650.2 -2.28931 -24.8443 188.589 651.58 -13 334 1 0 0.6315
16.6052 13.0669 75650.2 -19.0495 -23.8058 216.41 657.586 -13 335 1 0 0.6315
-18.555 11.9406 75650.2 13.1748 -5.70962 183.058 688.061 -13 337 1 0 0.6315
-24.4553 17.1966 75650.2 -35.3573 28.0735 192.607 660.096 -13 340 1 0 0.6315
-51.3004 2.81655 75650.2 -1.04884 19.9289 241.09 759.014 -13 342 1 0 0.6315
18.0029 19.8525 75650.2 -1.95216 -4.59547 205.425 715.733 -13 345 1 0 0.6315
32.9359 5.74472 75650.2 9.69451 -25.8701 196.791 635.927 -13 346 1 0 0.6315
-0.512022 21.9883 75650.2 4.65745 -4.3767 211.506 774.306 -13 348 1 0 0.6315
8.27686 21.8299 75650.2 -4.7585 -0.422201 207.295 712.789 -13 349 1 0 0.6315
-11.1164 -31.6903 75650.2 24.1115 -3.87712 238.082 768.599 -13 359 1 0 0.6315
