#BLTrackFile VirtualDetector/DetLast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-11.563 -23.9953 131750 -13.3563 8.08745 188.77 874.232 -13 2 1 0 0.6315
8.8497 58.2944 131750 33.504 8.31986 214.532 862.157 -13 3 1 0 0.6315
-5.14009 -3.26862 131750 -7.23422 -14.2514 180.802 849.572 -13 8 1 0 0.6315
1.87378 11.2345 131750 6.62351 -15.112 218.639 852.606 -13 10 1 0 0.6315
-15.1121 44.2223 131750 20.2865 0.163335 212.181 867.945 -13 12 1 0 0.6315
-28.3778 -3.96759 131750 9.76057 19.6977 225.984 852.813 -13 14 1 0 0.6315
-37.7409 24.3783 131750 22.6036 18.5075 209.579 920.911 -13 18 1 0 0.6315
-37.0855 -0.0813607 131750 2.68583 28.5747 207.689 889.715 -13 23 1 0 0.6315
-26.1542 6.69532 131750 -17.1303 3.12136 217.074 877.22 -13 33 1 0 0.6315
30.6535 18.5376 131750 18.8998 -27.9519 231.867 923.408 -13 40 1 0 0.6315
41.4003 -21.1643 131750 -11.6082 -13.9653 226.288 972.709 -13 41 1 0 0.6315
-31.2617 31.6322 131750 4.69888 9.02674 213.115 1049.87 -13 46 1 0 0.6315
-24.03 5.3736 131750 15.1333 19.5281 229.919 874.691 -13 47 1 0 0.6315
-0.910273 -12.7726 131750 -9.41392 16.1272 179.319 865.178 -13 49 1 0 0.6315
45.1053 6.77469 131750 37.5364 -30.8536 235.403 908.51 -13 55 1 0 0.6315
43.6244 -89.2884 131750 -30.7014 -13.1882 194.502 861.988 -13 63 1 0 0.6315
-27.838 -60.7074 131750 -18.637 3.86226 184.866 846.807 -13 71 1 0 0.6315
26.714 65.0243 131750 26.6034 -22.0981 229.099 920.413 -13 76 1 0 0.6315
-7.54427 28.5919 131750 24.2642 -3.43596 191.219 895.68 -13 81 1 0 0.6315
1.99514 12.7448 131750 17.0261 5.99096 203.459 855.7 -13 88 1 0 0.6315
32.0956 19.2053 131750 -3.34922 -7.01958 235.695 892.429 -13 89 1 0 0.6315
-34.68 -43.0775 131750 -23.9034 11.8234 215.933 892.756 -13 90 1 0 0.6315
-51.9289 45.9549 131750 7.44606 16.8902 199.98 871.285 -13 92 1 0 0.6315
32.635 41.9943 131750 4.65254 -33.7151 209.619 864.698 -13 96 1 0 0.6315
72.3809 38.4616 131750 19.3649 -16.5834 217.459 988.137 -13 97 1 0 0.6315
-51.7234 3.92739 131750 13.8487 17.2828 233.226 972.497 -13 99 1 0 0.6315
31.2787 21.2556 131750 2.58969 -20.1916 212.704 868.181 -13 108 1 0 0.6315
-4.09174 -22.6824 131750 -1.12008 8.57489 195.488 858.73 -13 109 1 0 0.6315
-22.5603 22.0053 131750 -1.65457 31.5145 232.069 877.473 -13 111 1 0 0.6315
30.0867 14.3469 131750 10.5258 -9.53834 234.339 917.239 -13 119 1 0 0.6315
-47.214 -53.2169 131750 -15.7075 34.1173 209.665 923.546 -13 127 1 0 0.6315
17.6843 19.7516 131750 12.9765 -12.9228 254.171 1065 -13 129 1 0 0.6315
